Company,Text_Description,Link
zore,"Our Core Values
These are the rules by which we play. Our culture, our decisions, and the experiences we deliver are all shaped by these six core values:

VSRIJ
Fun
We facilitate other people's fun and have fun making it happen.

86DHK
Team Player
Through the spirit of camaraderie, we share ideas, efforts, and resources to accomplish our goals. 

give love 1
Caring
We care about the company, each other, and the work we do. We care about our customers, their experience, and the communities in which we play.

DPmXR
Reliable
We do what we say, meet our commitments, and provide a consistent customer experience with relentless organization.

H3D9u
Own It
We take ownership and do whatever it takes. We are go-getters who identify and creatively solve problems.

xgTlW
Continuous Improvement
We're committed to getting better every day in everything we do as individuals and as a company.",
Toornament,"We want to provide the best tournament management solution to esports organizers all around the world.

To achieve this, we took a B2B positioning, serving the needs of professional esports organizations, agencies, studios and publishers. We deliver our software as a service (SaaS) while maintaining a high degree of quality for all users, professional or not.",https://www.toornament.com/en_US/about
Epulze,"A World Entertained by Esports and Gaming
Founded in Sweden in 2015, Epulze is a world-leading esports, gaming, and entertainment company with the purpose of connecting grassroots players, professionals, enthusiasts, and stakeholders of esports, to create growth and engagement for gaming communities all over the globe.
The Epulze Esports Ecosystem
Epulze consists of several verticals in the gaming and esports world. By combining many facets of the esports community, locally and globally, Epulze becomes an Esports Ecosystem:
​
A friendly and easily accessed online tournament and competitions platform, where gamers of all skill levels can engage in daily tournaments, climb the ranks, compete for prizes, and kickstart their esports careers.
​
An event and pro tournaments division that connects brands and gamers with professional esports fun and excitement, reaching large audiences.
​
An esports content and broadcasting studio that produces unique livestreams for enthusiasts and brands in a global community of more than 30 million esports fans.",https://epulze.com/about
Zogsports,"We believe life is better with real personal connections, caring communities and a sense of play
ZogSports is the country’s most popular social sports community, with thousands of players forming new friendships every year. If you want to create new connections, be part of a caring community, and infuse a sense of play into your life, you're in the right place!

After his close call on September 11, 2001, Robert Herzog was inspired to create an organization which brought like-minded people together to have fun, give back and create community. He identified a need for better organized sports leagues and more natural social interactions outside of the workplace. Plus, he wanted to tap into the charitable spirit which pervaded the city following 9/11.

These are the rules by which we play. Our culture, our decisions, and the experiences we deliver are all shaped by these six core values:

We facilitate other people's fun and have fun making it happen.

Through the spirit of camaraderie, we share ideas, efforts, and resources to accomplish our goals

We care about the company, each other, and the work we do. We care about our customers, their experience, and the communities in which we play.

We do what we say, meet our commitments, and provide a consistent customer experience with relentless organization.

We take ownership and do whatever it takes. We are go-getters who identify and creatively solve problems.

We're committed to getting better every day in everything we do as individuals and as a company.

Meet the ZogSports full-time staff who juggle 1,000 details without breaking a sweat. They're hustling every day to ensure thousands of athletes across the country can play the sports they love every week. (They're also the folks who solve your occasional recreational sports emergencies.

Playing on a team is one of the easiest ways to make friends and create community.

20+
YEARS OF COMMUNITY
6
REGIONS WHERE WE ZOG
$3M+
DONATED TO CHARITY
1,000+
ATHLETES EVERY SEASON
Sooo many
OFF-THE-FIELD ROMANCES

",https://www.zogsports.com/about-us/
Inter7s,"Inter7s was established in 2007 but before that in 2004 it started as one architect team Déantús Projects playing among their staff and organised by Emmet Switzer current Inter7s founder, then some more architect teams joined, then it became a league. At the end of each season the extra money left over was given to charity and that’s how it all began.

In 2008 more teams had joined so Give ‘n’ Go was formed to run the new leagues. It has grown now to 84 teams and counting, raising and donating hundreds of thousands of euro in that time. It’s over €700,000 now. While still maintaining the original ethos of fun and social football from all sectors of Irish society.

It’s not just 7 a side football leagues, we also have 6 a side and 5 aside football tournaments across Ireland, sending winning teams to Canada through the FIFCO tournament, to Brazil through the Red Bull Neymar 5s and to China with the F5WC.  Recently Champions League winning teams have gone to Croatia February 2023 and Budapest June 2023 as part of European mini football tournaments. 

The Current Inter7s leagues
32 teams Irishtown Stadium, All Weather pitch Ringsend.
42 teams Clontarf All Weather Pitche
24 teams Sandymount (formerly known as the YMCA venue)
8 teams Donaghmede
8 teams Athlone
6 teams Wexford
More venues to be announced. 


Socia Sports CLG
The Inter7s leagues operate under Socia Sports CLG (previously Give ‘N’ Go ltd) which is a not for profit company with its main aim in providing events for charities, and fundraisers that allow them to produce much needed funds with it's main aim of promoting Men's Mental Health, our aim is to create employment in this ethical new venture. ",https://www.inter7s.com/
CSIT,"We are an international multi-sports organization, founded 1913 in Ghent/Belgium and based on the historic ideas of the international labor movement. Within the last decades, we have reoriented ourselves and become a broad-based international Sport for All - Confederation with more than 200 million members. By organizing major sports events worldwide, establishing international networking platforms, engagement in EU projects and developing educational programs we are led by one guiding principle:

Spirit of Sports - Spirit of Unity

In international sport, the CSIT network plays an important role as a starting point and training platform for future world-class athletes. Numerous current and former Olympic athletes who have made it to Olympic medal honours have their roots in CSIT member organizations.

On our mission to make the world a better place through sports, we can count on the support of more than 80 Members from 60 countries and 35 Partners of the world of Sports for All. Join us and be part of the change!

CSIT is the founder of the CSIT World Sports Games (WSG) and develops the WSG to international amateur sports games in view of the dimension of our original International Workers' Olympiads. Thus we offer all non-professional athletes a sustainable and unique stage for competition in a spirit of friendship and global citizenship.",https://www.csit.sport/about-us/who-we-are
Fanatics,"As a global leader in licensed sports merchandise, Fanatics is building the leading global digital sports platform and changing the way fans purchase their favorite team apparel, jerseys, headwear and hardgoods through an innovative, tech-infused approach to making and quickly distributing fan gear in today’s 24/7 mobile-first economy. Operating multi-channel commerce for the world's biggest sports brands, Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in flagship stores, in stadiums or on-site at the world's biggest sporting events.

Through Fanatics’ innovative commerce capabilities and cutting-edge tech platform, the company has assembled one of the best databases of fans globally which is now being leveraged across the broader sports ecosystem to build new, large-scale digital sports businesses outside of merchandise. Fanatics is the majority owner of Candy Digital, a next generation digital collectibles company that is partnering with prominent sports properties - including MLB and MLBPA - to build an official NFT ecosystem where fans and collectors come to purchase, trade and share officially licensed NFT’s. Additional ventures that will build out Fanatics’ footprint across the broader digital sports landscape will be announced in the coming months.

Fanatics’ partners include all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA) and hundreds of collegiate and professional teams, which include several of the biggest global soccer clubs.

In addition to e-commerce, the capabilities of Fanatics include omnichannel-integrated physical retail operations across a broad portfolio of flagship stores, team retail and special events; international capabilities that provide a global sports retail platform; and an in-house merchandise and manufacturing division that is a licensed partner of professional and collegiate teams and helps fans express passion through a broad range of apparel and non-apparel products created under the Fanatics, Nike, Top of the World, Majestic and WinCraft brands.

As a leading global digital sports platform, Fanatics is committed to making a positive impact in the communities where we all live, work and play through strategic philanthropic initiatives. As a market leader with more than 8,000 employees and over 300 partners, suppliers, and vendors in 11 countries, we also take responsibility for driving toward more ethical and sustainable practices.

https://www.fanatics.com/why-shop-with-us/ch-2389",https://www.fanatics.com/
SportLoMo,"Since its inception in 2000, SportLoMo has been dedicated to supporting amateur sports through our advanced sports management software. Our goal is to enhance the efficiency of local grassroots sports organizations while simultaneously minimizing their operational burdens.
SportLoMo’s multilingual platform is internationally recognized for its capability to manage extensive member registrations, event registrations, and a variety of games, competitions, and tournaments. This platform is operational in numerous countries, including Ireland, the United Kingdom, various European nations, Canada, the USA, the Emirates, Australia, and New Zealand.",https://www.sportlomo.com/about/
Playpass,"We're proud to assist organizations in every US state, every Canadian province, nearly all Mexican states, and 231 countries worldwide.

We support online payments in 47 countries and bill our customers in 135 currencies from $, €, £ to ₹, ₱, ¥.

We love our paying, happy customers on our monthly or annual pricing plans. They come from 116 countries and in all sizes of organizations including weekly leagues, weekend tournaments, community events, intramural programs, parks & rec departments, and sports & social clubs.

Playpass got its start as online scheduling and registration software for DUPLAYS, a sport and social club with over 100,000 members.

Today, over 160,860 organizations use our solutions for scheduling, registration payments, referral programs, waiver signing, and to build a website.

For players, we launched Playpass search, making it easier to find, register, and pay for activities.

It's our mission to make recreational sports better for everyone.

If you're a sports manager, the best way to learn more about Playpass is to start a free trial and follow our setup guide.   

",https://playpass.com/
"Corporate Sports
&Entertainment","Corporate Sports & Entertainment provides advertising sales services for over 100 professional sports franchises and events throughout the NFL, MLB, NBA, NHL, PGA, NASCAR, World Championship Boxing, and Professional Tennis as well as numerous NCAA universities across the United States.

With advertising opportunities in every major U.S. market, we offer one-stop shopping to companies and entities of all sizes. Because of the relationships we have formed with teams, leagues and events, we are able to create attractive national, regional and local advertising opportunities to fit every budget, desired market and demographic target.

Corporate Sports & Entertainment headquarters are located in Tampa, Florida.
",https://www.corporatesportsent.com/
